country,product,date,gross_production_value
Albania,Sour cherries,2024,10949
Albania,Soya beans,2022,520
Albania,Soya beans,2023,394
Albania,Soya beans,2024,617
Albania,Spinach,2022,15404
Albania,Spinach,2023,13612
Albania,Spinach,2024,13261
Albania,Sugar beet,2022,955
Albania,Sugar beet,2023,919
Albania,Sugar beet,2024,798
Albania,Sunflower seed,2022,815
Albania,Sunflower seed,2023,795
Albania,Sunflower seed,2024,1199
Albania,"Tangerines, mandarins, clementines",2022,17864
Albania,"Tangerines, mandarins, clementines",2023,18312
Albania,"Tangerines, mandarins, clementines",2024,18990
Albania,Tomatoes,2022,152298
Albania,Tomatoes,2023,149536
Albania,Tomatoes,2024,148940
Albania,Unmanufactured tobacco,2022,4124
Albania,Unmanufactured tobacco,2023,3946
Albania,Unmanufactured tobacco,2024,4283
Albania,Vetches,2022,1190
Albania,Vetches,2023,1192
Albania,Vetches,2024,1195
Albania,Watermelons,2022,50474
Albania,Watermelons,2023,55300
Albania,Watermelons,2024,54658
Albania,Wheat,2022,74515
Albania,Wheat,2023,74656
Albania,Wheat,2024,57789
Algeria,"Almonds, in shell",2022,119750
Algeria,"Almonds, in shell",2023,132111
Algeria,"Almonds, in shell",2024,129795
Algeria,Apples,2022,858670
Algeria,Apples,2023,905522
Algeria,Apples,2024,921207
Algeria,Apricots,2022,105048
Algeria,Apricots,2023,98984
Algeria,Apricots,2024,93028
Algeria,Artichokes,2022,35537
Algeria,Artichokes,2023,39858
Algeria,Artichokes,2024,39318
Algeria,Barley,2022,262322
Algeria,Barley,2023,222974
Algeria,Barley,2024,262322
Algeria,"Beans, dry",2022,1481
Algeria,"Beans, dry",2023,1134
Algeria,"Beans, dry",2024,1203
Algeria,"Broad beans and horse beans, dry",2022,16560
Algeria,"Broad beans and horse beans, dry",2023,18850
Algeria,"Broad beans and horse beans, dry",2024,18987
Algeria,"Broad beans and horse beans, green",2022,188748
Algeria,"Broad beans and horse beans, green",2023,204767
Algeria,"Broad beans and horse beans, green",2024,202595
Algeria,Cabbages,2022,72051
Algeria,Cabbages,2023,66740
Algeria,Cabbages,2024,70369
Algeria,Carrots and turnips,2022,176144
Algeria,Carrots and turnips,2023,181350
Algeria,Carrots and turnips,2024,178746
Algeria,Cauliflowers and broccoli,2022,145778
Algeria,Cauliflowers and broccoli,2023,155378
Algeria,Cauliflowers and broccoli,2024,163422
Algeria,Cherries,2022,15103
Algeria,Cherries,2023,15667
Algeria,Cherries,2024,16415
Algeria,"Chick peas, dry",2022,28628
Algeria,"Chick peas, dry",2023,29753
Algeria,"Chick peas, dry",2024,30630
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2022,12865
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2023,12867
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2024,12858
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,382681
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,522925
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,517063
Algeria,Cucumbers and gherkins,2022,44716
Algeria,Cucumbers and gherkins,2023,46669
Algeria,Cucumbers and gherkins,2024,45369
Algeria,Dates,2022,4823701
Algeria,Dates,2023,5143563
Algeria,Dates,2024,5192560
Algeria,Eggplants (aubergines),2022,34331
Algeria,Eggplants (aubergines),2023,36365
Algeria,Eggplants (aubergines),2024,36886
Algeria,Figs,2022,23247
Algeria,Figs,2023,24591
Algeria,Figs,2024,23816
Algeria,Grapes,2022,861376
Algeria,Grapes,2023,865370
Algeria,Grapes,2024,852114
Algeria,Green garlic,2022,538852
Algeria,Green garlic,2023,578453
Algeria,Green garlic,2024,629721
Algeria,"Groundnuts, excluding shelled",2022,16683
Algeria,"Groundnuts, excluding shelled",2023,17747
Algeria,"Groundnuts, excluding shelled",2024,18694
Algeria,"Hen eggs in shell, fresh",2022,599902
Algeria,"Hen eggs in shell, fresh",2023,593385
Algeria,"Hen eggs in shell, fresh",2024,598113
Algeria,"Horse meat, fresh or chilled (indigenous)",2022,1
Algeria,"Horse meat, fresh or chilled (indigenous)",2023,1
Algeria,"Horse meat, fresh or chilled (indigenous)",2024,56
Algeria,Lemons and limes,2022,103501
Algeria,Lemons and limes,2023,107533
Algeria,Lemons and limes,2024,107873
Algeria,"Lentils, dry",2022,2667
Algeria,"Lentils, dry",2023,7076
Algeria,"Lentils, dry",2024,5066
Algeria,Locust beans (carobs),2022,272
Algeria,Locust beans (carobs),2023,275
Algeria,Locust beans (carobs),2024,276
Algeria,Maize (corn),2022,2998
Algeria,Maize (corn),2023,3270
Algeria,Maize (corn),2024,3270
Algeria,"Meat of camels, fresh or chilled (indigenous)",2022,88964
Algeria,"Meat of camels, fresh or chilled (indigenous)",2023,93418
Algeria,"Meat of camels, fresh or chilled (indigenous)",2024,96658
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2022,947890
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2023,1040376
Algeria,"Meat of cattle with the bone, fresh or chilled (indigenous)",2024,1085751
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2022,1108101
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2023,1149757
Algeria,"Meat of chickens, fresh or chilled (indigenous)",2024,1186582
Algeria,"Meat of goat, fresh or chilled (indigenous)",2022,336245
Algeria,"Meat of goat, fresh or chilled (indigenous)",2023,339277
Algeria,"Meat of goat, fresh or chilled (indigenous)",2024,340027
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2022,127
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2023,127
Algeria,"Meat of pig with the bone, fresh or chilled (indigenous)",2024,126
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2022,7041
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2023,7039
Algeria,"Meat of rabbits and hares, fresh or chilled (indigenous)",2024,7038
Algeria,"Meat of sheep, fresh or chilled (indigenous)",2022,4109932
Algeria,"Meat of sheep, fresh or chilled (indigenous)",2023,4206026
Algeria,"Meat of sheep, fresh or chilled (indigenous)",2024,4288111
Algeria,"Meat of turkeys, fresh or chilled (indigenous)",2022,114152
Algeria,"Meat of turkeys, fresh or chilled (indigenous)",2023,119650
Algeria,"Meat of turkeys, fresh or chilled (indigenous)",2024,119974
Algeria,Mushrooms and truffles,2022,4023
Algeria,Mushrooms and truffles,2023,4116
Algeria,Mushrooms and truffles,2024,4210
Algeria,Natural honey,2022,29936
Algeria,Natural honey,2023,31494
Algeria,Natural honey,2024,30566
Algeria,Oats,2022,13599
Algeria,Oats,2023,12759
Algeria,Oats,2024,17628
Algeria,Olives,2022,370459
Algeria,Olives,2023,397659
Algeria,Olives,2024,397617
Algeria,"Onions and shallots, dry (excluding dehydrated)",2022,709575
Algeria,"Onions and shallots, dry (excluding dehydrated)",2023,745125
Algeria,"Onions and shallots, dry (excluding dehydrated)",2024,750376
Algeria,"Onions and shallots, green",2022,103
Algeria,"Onions and shallots, green",2023,104
Algeria,"Onions and shallots, green",2024,103
Algeria,Oranges,2022,1318181
Algeria,Oranges,2023,1453433
Algeria,Oranges,2024,1435667
Algeria,"Other beans, green",2022,130585
Algeria,"Other beans, green",2023,144494
Algeria,"Other beans, green",2024,141497
Algeria,"Other citrus fruit, n.e.c.",2022,746
Algeria,"Other citrus fruit, n.e.c.",2023,743
Algeria,"Other citrus fruit, n.e.c.",2024,745
Algeria,"Other fruits, n.e.c.",2022,48391
Algeria,"Other fruits, n.e.c.",2023,53926
Algeria,"Other fruits, n.e.c.",2024,58966
Algeria,Other pulses n.e.c.,2022,34
Algeria,Other pulses n.e.c.,2023,34
Algeria,Other pulses n.e.c.,2024,34
Algeria,Other stone fruits,2022,11530
Algeria,Other stone fruits,2023,11818
Algeria,Other stone fruits,2024,11682
Algeria,"Other vegetables, fresh n.e.c.",2022,563343
Algeria,"Other vegetables, fresh n.e.c.",2023,588232
Algeria,"Other vegetables, fresh n.e.c.",2024,627542
Algeria,Peaches and nectarines,2022,56595
Algeria,Peaches and nectarines,2023,58147
Algeria,Peaches and nectarines,2024,57961
Algeria,Pears,2022,211084
Algeria,Pears,2023,220066
Algeria,Pears,2024,210806
Algeria,"Peas, dry",2022,5079
Algeria,"Peas, dry",2023,5732
Algeria,"Peas, dry",2024,5658
Algeria,"Peas, green",2022,221624
Algeria,"Peas, green",2023,231694
Algeria,"Peas, green",2024,225489
Algeria,Plums and sloes,2022,31518
Algeria,Plums and sloes,2023,31177
Algeria,Plums and sloes,2024,30249
Algeria,Pomelos and grapefruits,2022,699
Algeria,Pomelos and grapefruits,2023,666
Algeria,Pomelos and grapefruits,2024,663
Algeria,Potatoes,2022,1720516
Algeria,Potatoes,2023,1853906
Algeria,Potatoes,2024,1829859
Algeria,"Pumpkins, squash and gourds",2022,280817
Algeria,"Pumpkins, squash and gourds",2023,322581
Algeria,"Pumpkins, squash and gourds",2024,333209
Algeria,Quinces,2022,2371
Algeria,Quinces,2023,3366
Algeria,Quinces,2024,3339
Algeria,Rape or colza seed,2022,8679
Algeria,Rape or colza seed,2023,8657
Algeria,Rape or colza seed,2024,8659
Algeria,Raw milk of camel,2022,6033
Algeria,Raw milk of camel,2023,6052
Algeria,Raw milk of camel,2024,6098
Algeria,Raw milk of cattle,2022,1045167
Algeria,Raw milk of cattle,2023,1038851
Algeria,Raw milk of cattle,2024,1039527
Algeria,Raw milk of goats,2022,128426
Algeria,Raw milk of goats,2023,128159
Algeria,Raw milk of goats,2024,126972
Algeria,Raw milk of sheep,2022,216565
Algeria,Raw milk of sheep,2023,219589
Algeria,Raw milk of sheep,2024,214639
Algeria,Rice,2022,137
Algeria,Rice,2023,137
Algeria,Rice,2024,137
Algeria,"Seed cotton, unginned",2022,92
Algeria,"Seed cotton, unginned",2023,90
Algeria,"Seed cotton, unginned",2024,91
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2022,32666
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2023,34234
Algeria,"Shorn wool, greasy, including fleece-washed shorn wool",2024,34006
Algeria,Sorghum,2022,164
Algeria,Sorghum,2023,106
Algeria,Sorghum,2024,111
Algeria,Sunflower seed,2022,42
Algeria,Sunflower seed,2023,42
Algeria,Sunflower seed,2024,42
Algeria,"Tangerines, mandarins, clementines",2022,354872
Algeria,"Tangerines, mandarins, clementines",2023,378562
Algeria,"Tangerines, mandarins, clementines",2024,375700
Algeria,Tomatoes,2022,850739
Algeria,Tomatoes,2023,872661
Algeria,Tomatoes,2024,904829
Algeria,Triticale,2022,182
Algeria,Triticale,2023,93
Algeria,Triticale,2024,105
Algeria,Unmanufactured tobacco,2022,2465
Algeria,Unmanufactured tobacco,2023,2751
Algeria,Unmanufactured tobacco,2024,2741
Algeria,Vetches,2022,21
Algeria,Vetches,2023,21
Algeria,Vetches,2024,21
Algeria,Watermelons,2022,812784
Algeria,Watermelons,2023,974562
Algeria,Watermelons,2024,986357
Algeria,Wheat,2022,1416541
Algeria,Wheat,2023,1180451
Algeria,Wheat,2024,1416541
Angola,Avocados,2022,30367
Angola,Avocados,2023,32082
Angola,Avocados,2024,33823
Angola,Bananas,2022,1250784
Angola,Bananas,2023,1333801
Angola,Bananas,2024,1420861
Angola,"Beans, dry",2022,428950
Angola,"Beans, dry",2023,439315
Angola,"Beans, dry",2024,444458
Angola,Cabbages,2022,98149
Angola,Cabbages,2023,101907
Angola,Cabbages,2024,105930
Angola,Carrots and turnips,2022,100460
Angola,Carrots and turnips,2023,103708
Angola,Carrots and turnips,2024,107818
Angola,"Cassava, fresh",2022,2075635
Angola,"Cassava, fresh",2023,2211993
Angola,"Cassava, fresh",2024,2347807
Angola,"Coffee, green",2022,3601
Angola,"Coffee, green",2023,4309
Angola,"Coffee, green",2024,5246
Angola,Green garlic,2022,11090
Angola,Green garlic,2023,11423
Angola,Green garlic,2024,12006
Angola,"Groundnuts, excluding shelled",2022,157939
Angola,"Groundnuts, excluding shelled",2023,163044
Angola,"Groundnuts, excluding shelled",2024,173811
Angola,Maize (corn),2022,1010853
Angola,Maize (corn),2023,1051679
Angola,Maize (corn),2024,1096748
Angola,"Mangoes, guavas and mangosteens",2022,308941
Angola,"Mangoes, guavas and mangosteens",2023,334025
Angola,"Mangoes, guavas and mangosteens",2024,341719
Angola,Millet,2022,7424
Angola,Millet,2023,6364
Angola,Millet,2024,5303
Angola,"Other vegetables, fresh n.e.c.",2022,63627
Angola,"Other vegetables, fresh n.e.c.",2023,66344
Angola,"Other vegetables, fresh n.e.c.",2024,65837
Angola,Pineapples,2022,452140
Angola,Pineapples,2023,483084
Angola,Pineapples,2024,514826
Angola,Potatoes,2022,179608
Angola,Potatoes,2023,180831
Angola,Potatoes,2024,188936
Angola,Raw milk of cattle,2022,91087
Angola,Raw milk of cattle,2023,91591
Angola,Raw milk of cattle,2024,92096
Angola,Rice,2022,3950
Angola,Rice,2023,14894
Angola,Rice,2024,18076
Angola,Sorghum,2022,9100
Angola,Sorghum,2023,9265
Angola,Sorghum,2024,9798
Angola,Soya beans,2022,31513
Angola,Soya beans,2023,37640
Angola,Soya beans,2024,39509
Angola,Sweet potatoes,2022,462228
Angola,Sweet potatoes,2023,493058
Angola,Sweet potatoes,2024,524048
Angola,Tomatoes,2022,132327
Angola,Tomatoes,2023,172401
Angola,Tomatoes,2024,190321
Antigua and Barbuda,Bananas,2022,13
Antigua and Barbuda,Bananas,2023,9
Antigua and Barbuda,Bananas,2024,4
Antigua and Barbuda,Cabbages,2022,24
Antigua and Barbuda,Cabbages,2023,19
Antigua and Barbuda,Cabbages,2024,15
Antigua and Barbuda,Cantaloupes and other melons,2022,67
Antigua and Barbuda,Cantaloupes and other melons,2023,15
Antigua and Barbuda,Cantaloupes and other melons,2024,61
Antigua and Barbuda,Carrots and turnips,2022,10
Antigua and Barbuda,Carrots and turnips,2023,8
Antigua and Barbuda,Carrots and turnips,2024,12
Antigua and Barbuda,"Cassava, fresh",2022,236
Antigua and Barbuda,"Cassava, fresh",2023,104
Antigua and Barbuda,"Cassava, fresh",2024,83
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,227
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,213
Antigua and Barbuda,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,215
Antigua and Barbuda,Cucumbers and gherkins,2022,93
Antigua and Barbuda,Cucumbers and gherkins,2023,220
Antigua and Barbuda,Cucumbers and gherkins,2024,217
Antigua and Barbuda,Eggplants (aubergines),2022,59
Antigua and Barbuda,Eggplants (aubergines),2023,141
Antigua and Barbuda,Eggplants (aubergines),2024,72
Antigua and Barbuda,"Hen eggs in shell, fresh",2022,6207
Antigua and Barbuda,"Hen eggs in shell, fresh",2023,3281
