countryName,year,tavg,prcp,tmax,tmin
Malawi,2017,24.268237974147066,574.5,30.2,18.77761073137389
Malawi,2018,21.9848168202765,793.7,27.52633512544803,16.733363988864465
Malawi,2019,21.82237071172555,706.8,27.12126184075781,16.820300819252434
Malawi,2020,21.967067884068715,316.8,27.569907767890246,17.035672660981337
Malawi,2021,23.07397363031234,3864.1,27.61921454173067,19.033195596518176
Malawi,2022,23.463897597860058,5499.1,27.90914287479916,19.489059281035363
Malawi,2023,23.892998207885302,5589.4,28.491523937532,19.64287634408602
Malawi,2024,23.424491252283058,4278.1,28.202442107776182,19.10367488725998
Malawi,2025,22.544568391562613,6218.5,27.135949161409012,18.707936966400744
Malaysia,2015,27.333152841781875,3271.4,32.12730592045247,24.11155037784487
Malaysia,2016,27.89884954476167,4312.1,32.59310489020723,24.64781063321386
Malaysia,2017,27.543004257457664,345.4,31.810315319490794,24.604693200492548
Malaysia,2018,27.84745562382659,184.0,31.77383491291846,25.041100625229287
Malaysia,2019,28.21606545485578,754.4,32.13203386053745,25.342259960933795
Malaysia,2020,27.9407303382359,38.9,31.716692312445925,25.16344951180324
Malaysia,2021,27.56345643454514,6457.5,31.404883939238776,24.768147721454174
Malaysia,2022,27.512795698924734,7685.2,31.354778972520908,24.71112241850145
Malaysia,2023,27.94388120839734,4349.8,31.4936763952893,25.47623527905786
Malaysia,2024,28.291217711036953,5016.4,31.875429489556296,25.83688048448894
Malaysia,2025,27.874337557603685,4516.0,31.458192524321557,25.20845494111623
Maldives,2015,29.196044833765914,519.9,31.408951449784784,26.824585633962123
Maldives,2016,29.19348878726706,316.2,31.237521454423376,26.978376784791827
Maldives,2017,29.046565352690678,242.1,31.185304360386876,26.929715679939136
Maldives,2018,28.77470037563858,417.9,30.84122063005717,26.63965628216521
Maldives,2019,29.047176299283155,426.0,31.20753392217102,26.925001280081926
Maldives,2020,29.19066926214312,67.8,31.27397432332221,27.223167099246073
Maldives,2021,28.465114475897888,6957.4,30.61135478384902,26.737452911272033
Maldives,2022,28.328809621549766,10934.1,30.455362565864313,26.40468815501729
Mali,2015,28.354231208990644,3569.7000000000003,35.30383124274295,22.182173656011724
Mali,2016,28.82074128059137,4937.8,35.76235124431644,22.713407174539807
Mali,2017,28.76427426624859,4375.6,35.837426537364244,22.526350453230886
Mali,2018,28.750592373076582,3801.7,35.58071808597826,22.698015581055174
Mali,2019,28.629621341219792,3971.5,35.480418877283824,22.535324595929097
Mali,2020,28.928932750011008,4343.900000000001,35.770658227635224,22.697403780218984
Mali,2021,29.410238479262674,5677.1,36.39081419610855,23.139090437788017
Mali,2022,28.524698732718893,7858.7,35.30481739631337,22.214137178434594
Mali,2023,29.156457885304658,5095.2,35.92979358678955,22.687053827444956
Mali,2024,29.400403376865928,9622.1,36.10672864494745,22.952530164076094
Mali,2025,28.59145864885854,5315.7,35.03556772189942,22.72949404483626
Malta,2015,19.231146632158406,4586.0,23.323622567844343,15.542551027155566
Malta,2016,19.653854900506737,2342.0,23.717100084750253,16.19291765492915
Malta,2017,19.26402585765489,3264.0,23.28674283154122,15.62134129044029
Malta,2018,19.577833461341527,5207.0,23.402940215760015,16.315800089684963
Malta,2019,19.279580133128523,5068.0,23.28067076292883,15.925253456221197
