Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","113.597099","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","115.785785","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","117.371378","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","119.044418","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","116.870769","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","114.926413","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","115.357437","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","114.68503","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","114.891168","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","116.204666","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","119.067918","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","120.880724","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","120.900114","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","121.659358","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","136.811308","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","134.430757","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","131.92342","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","129.529495","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","127.927101","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","125.471362","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","126.094055","X","Figure from external organization","base year is 2015"
